Date,Open,High,Low,Close,Adj Close,Volume,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-25,262.709991,268,262.5,267.25,266.617249,75270300,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-02,267.269989,271,256.290009,270.709991,270.069031,114149800,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-09,270,275.299988,264.910004,275.149994,274.498535,142029400,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-16,277,282.649994,276.980011,279.440002,278.778381,183180000,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-23,280.529999,293.970001,280.369995,289.799988,289.113831,96609500,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-30,289.459991,300.600006,285.220001,297.429993,296.725769,131680800,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,293.790009,312.670013,292.75,310.329987,309.595215,167522900,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,311.640015,318.73999,309.549988,318.730011,317.975372,163013900,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-20,317.190002,323.329987,315.649994,318.309998,317.556335,115921300,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,310.059998,327.850006,304.880005,309.51001,308.777191,216683700,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-03,304.299988,325.220001,302.220001,320.029999,319.272278,163134600,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10,314.179993,327.220001,313.850006,324.950012,324.950012,123065900,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-17,315.359985,324.649994,310.5,313.049988,313.049988,119158800,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-24,297.26001,304.179993,256.369995,273.359985,273.359985,349603500,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,282.279999,304,277.720001,289.029999,289.029999,323450200,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,263.75,286.440002,248,277.970001,277.970001,404209900,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,241.949997,259.079987,228,229.240005,229.240005,405065900,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,228.080002,258.679993,212.610001,247.740005,247.740005,346047500,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30,250.740005,262.48999,236.899994,241.410004,241.410004,209252700,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-06,250.899994,271.700012,249.380005,267.98999,267.98999,183929800,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-13,268.309998,288.25,265.829987,282.799988,282.799988,207386800,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-20,277.950012,283.01001,265.429993,282.970001,282.970001,169759900,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-24,277.200012,282.970001,277,282.970001,282.970001,31627183,,,,,,,,,,,,,,,,,,,,,,,,,,
